CountyName,RecType,"Region",Type,School,Name,Administrator,Mailing Address,Delivery Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID,Website,LastUpdated
,Reg Prg,340000000,00,9503,Bridges Program ALOP,Christopher J Geocaris,34090 N Almond Rd,,Gurnee,60031 5310,847548-7103,9-12,061,31,10,A,,,20240420 05:00:03
,Reg Prg,340000000,00,9504,Lake County Cooperative ALOP,Valerie Donnan,18160 W Gages Lake Rd,,Gages Lake,60030 1819,847986-2368,6-12,061,31,10,A,,,20240420 05:00:03
,Reg Prg,340000000,00,9505,Round Lake ALOP,Dr. Eric Apgar,811 Sunset Dr,,Round Lake,60073 2827,224842-2075,6-12,062,31,10,A,,,20240420 05:00:03
,ROE,350000000,00,0000,La Salle/Marshall/Putnam ROE,Hon. Christopher B Dvorak,119 W Madison St Ste 102,,Ottawa,61350 5015,815434-0780,6-12,076,38,14,1,1700194,http://www.roe35.org/,20240420 05:00:03
,Reg Prg,350000000,00,9202,LMP ROE TAOEP,Ms. Jennifer Ferguson,2233 6Th St Ste 2,,Peru,61354 2516,815220-3560,6-12,076,38,14,A,170019406330,http://www.roe35.org,20240420 05:00:03
,Reg Prg,350000000,00,9301,LMP ROE,Ms. Jennifer Ferguson,2233 6th St,,Peru,61354 2516,815220-3560,6-12,076,38,14,A,170019402993,,20240420 05:00:03
,Reg Prg,350000000,00,9501,LMP ROE ALOP,Mrs. Jennifer Ferguson,2233 6Th St Ste 2,,Peru,61354 2532,815220-3557,6-12,076,38,14,A,170019406848,,20240420 05:00:03
,Reg Prg,350000000,00,9502,LMP Regional Office of Education,Ryan Myers,119 W Madison St Ste 102,,Ottawa,61350 5015,815434-0780,4-12,076,38,14,A,,,20240420 05:00:03
,Reg Prg,350000000,00,9503,ROE 35 Academy,Jennifer Ferguson,2233 6Th St Ste 2,,Peru,61354 2532,815220-3560,4-12,076,38,14,A,,,20240420 05:00:03
,ROE,390000000,00,0000,Macon/Piatt ROE,Hon. Jill R Reedy,3433 Rupp Pkwy,,Decatur,62526 2124,217872-3721,K-12,096,48,13,1,1700197,http://www.roe39.org,20240420 05:00:03
,Reg Prg,390000000,00,9201,Futures Unlimited,Mr. Brian Plummer,3900 N Neely Ave,,Decatur,62526 1915,217362-3080,9-12,096,48,13,A,170019703048,http://www.futuresunlimited39.org,20240420 05:00:03
,Reg Prg,390000000,00,9301,Milligan Academy Rssp,Mr. Brian Plummer,3900 N Neely Ave,,Decatur,62526 1915,217362-3085,6-11,096,48,13,A,170019703057,http://www.milliganacademy39.org,20240420 05:00:03
,ROE,400000000,00,0000,Calhoun/Greene/Jersy/Macoupin ROE,Hon. Michelle Mueller,227 E 1St South St,,Carlinville,62626 1800,217854-4016,P-12,108,54,13,1,1700169,http://www.roe40.com,20240420 05:00:03
,Reg Prg,400000000,00,9201,ROE Alternative Education Center-Macoupin,Hon. Michelle Mueller,506 N High St,,Carlinville,62626 1351,217854-7733,10-12,108,54,13,A,170016903058,,20240420 05:00:03
,Reg Prg,400000000,00,9202,ROE Alternative Education Center-Greene,Hon. Michelle Mueller,250 E Sherman St,,White Hall,62092 1359,217374-2411,10-12,100,50,15,A,170016903091,,20240420 05:00:03
,Reg Prg,400000000,00,9301,ROE Safe Sch Macoupin,Hon. Michelle Mueller,506 N High St,,Carlinville,62626 1351,217854-7733,6-12,108,54,13,A,170016903098,http://www.roe40ace.weebly.com,20240420 05:00:03
,Reg Prg,400000000,00,9302,ROE Safe Sch Greene,Hon. Michelle Mueller,250 E Sherman St,,White Hall,62092 1359,217374-2411,6-12,100,50,15,A,170016903099,http://www.roe40ace.weebly.com,20240420 05:00:03
,Reg Prg,400000000,00,9303,ROE Safe School Jersey,Hon. Michelle Mueller,227 E 1St South St,,Carlinville,62626 1800,217854-4016,6-12,108,54,13,A,170016906623,,20240420 05:00:03
,ROE,410000000,00,0000,Madison ROE,Robert Werden,157 N Main St Ste 438,,Edwardsville,62025 1960,618296-4530,6-12,112,56,13,1,1700198,http://www.roe41.org,20240420 05:00:03
,Reg Prg,410000000,00,9303,Center for Educ Opp,Robert Werden,201 Staunton Rd,,Troy,62294 1227,618667-0633,6-12,109,55,15,A,170019805989,,20240420 05:00:03
,ROE,440000000,00,0000,McHenry ROE,Ms. Diana Hartmann,408 S Il Route 31,,Mchenry,60050 5419,815334-4475,6-12,063,32,11,1,1700200,http://www.mchenryroe.org,20240420 05:00:03
,Reg Prg,440000000,00,9301,Evergreen Academy,Ms. Diana Hartmann,3917 Mercy Dr,,Mchenry,60050 3151,815334-4055,6-12,069,35,11,A,170020003117,https://www.mchenrycountyil.gov/county-government/regional-office-of-education,20240420 05:00:03
,Reg Prg,440000000,00,9501,Innovation Academy,Ryan Hawkins,3917 Mercy Dr,,Mchenry,60050 3151,815239-0001,4-12,063,32,11,A,(Pending),,20240420 05:00:03
,ROE,450000000,00,0000,Monroe/Randolph ROE,Hon. Kelton Davis,134 N Main St,,Red Bud,62278 1072,618680-0154,6-12,115,58,12,1,1700202,,20240420 05:00:03
,Reg Prg,450000000,00,9201,CCSI Alternative School,Mr. Kelton Davis,6137 Beck Rd,,Red Bud,62278 3347,618473-2222,9-12,115,58,12,A,170020203189,,20240420 05:00:03
,Reg Prg,450000000,00,9301,Monroe/Randolph Red Brick Sch,Hon. Kelton Davis,134 N Main St,134 N Main St,Red Bud,62278 1072,618680-0154,6-12,115,58,12,A,170020203193,,20240420 05:00:03
,ROE,470000000,00,0000,Lee/Ogle/Whiteside ROE,Hon. Christopher Tennyson,2214 E 4Th St Ste B,,Sterling,61081 3046,815625-1495,4-12,074,37,17,1,1700195,http://www.leeogle.org,20240420 05:00:03
,Reg Prg,470000000,00,9301,Rock River Challenge,Mr. Terry Camplain,PO Box 91,204 Main St,Chana,61015 8700,815732-4664,6-12,074,37,16,A,170019504852,http://www.ocecil.org,20240420 05:00:03
,Reg Prg,470000000,00,9304,Regional Center for Change,Mr. Mark Morris,500 E 5Th St,500 E 5th St,Rock Falls,61071 1804,815564-2032,6-12,074,37,17,A,170019503325,https://www.roe47.org/,20240420 05:00:03
,Reg Prg,470000000,00,9501,Regional Center For Change ALOP Program,Mr. Mark Morris,500 E 5Th St,500 E 5Th St,Rock Falls,61071 1804,815564-2032,6-12,074,37,17,A,170019505735,https://www.roe47.org/,20240420 05:00:03
,Reg Prg,470000000,00,9502,Morrison Alt Learning Program,Mr. Cory Bielema,300 Academic Dr,,Morrison,61270 2952,815772-7264,9-12,074,37,17,A,170019506388,http://roe47.org,20240420 05:00:03
,ROE,480000000,00,0000,Peoria ROE,Hon. Elizabeth A Crider,324 Main St Rm 401,,Peoria,61602 2302,309672-6906,6-12,092,46,17,1,1700203,http://www.peoriaroe.org,20240420 05:00:03
,Reg Prg,480000000,00,9201,Peoria Regional High School,Ms. Teresa VonRohr,908 N Sterling Ave,,West Peoria,61604 5000,309495-6800,9-12,093,47,16,A,170020306202,,20240420 05:00:03
,Reg Prg,480000000,00,9301,Greeley Alternative School,Hon. Elizabeth A Crider,3202 N Wisconsin Ave,,Peoria,61603 1260,309282-1919,6-12,092,46,17,A,170020305736,,20240420 05:00:03
,ROE,490000000,00,0000,Rock Island ROE,Hon. Tammy L Muerhoff,3430 Avenue of The Cities,,Moline,61265 4417,309736-1111,6-12,072,36,17,1,1700204,http://www.riroe.com,20240420 05:00:03
,Reg Prg,490000000,00,9302,Coolidge RSSP,Mr. Andrew Bullock,3428 Avenue of The Cities,,Moline,61265 4417,309743-8587,7-8,072,36,17,A,170020406201,http://www.molineschools.org,20240420 05:00:03
,ROE,500000000,00,0000,Saint Clair ROE,Hon. Lori Costello,1000 S Illinois St,,Belleville,62220 2537,618825-3900,5-12,113,57,13,1,1700208,,20240420 05:00:03
,Reg Prg,500000000,00,9301,Saint Clair Co ROE Safe School,Mrs. Stacy Louderman,1722 W Main St,,Belleville,62226 7474,618233-6874,5-12,113,57,13,A,170020803239,,20240420 05:00:03
,ROE,510000000,00,0000,Menard/Sangamon ROE,Hon. Shannon C Fehrholz,2201 S Dirksen Pkwy,,Springfield,62703 4564,217753-6620,7-12,096,48,13,1,1700206,http://www.roe51.org,20240420 05:00:03
,Reg Prg,510000000,00,9201,Sangamon County Learning Academy,Julie Sullivan,2201 Toronto Rd Ste C,,Springfield,62712 3810,217529-3390,6-12,095,48,13,A,170020603258,,20240420 05:00:03
,Reg Prg,510000000,00,9301,Sangamon Safe School Program,Dr. Mary Loken,2201 Toronto Rd,,Springfield,62712 3802,217585-8090,7-12,095,48,13,A,170020603267,,20240420 05:00:03
,Reg Prg,510000000,00,9501,PROJECT IMPACT,Mrs. Shannon Fehrholz,2201 S Dirksen Pkwy,,Springfield,62703 4564,217535-3617,4-8,096,48,13,A,170020606764,,20240420 05:00:03
,ROE,530000000,00,0000,Mason/Tazewell/Woodford ROE,Hon. Jeffrey Shane Ekena,2400 N Main St Ste C,,East Peoria,61611 1735,309477-2290,P-12,093,47,16,1,1700209,http://www.roe53.net,20240420 05:00:03
,Reg Prg,530000000,00,9202,ROE 53 Academy,Mrs. Julie Grant,110 Fandel Rd,,Germantwn Hls,61548 9354,309383-3002,9-12,073,37,16,A,170020906194,,20240420 05:00:03
,Reg Prg,530000000,00,9301,ROE 53 Safe School,Mrs. Julie Grant,110 Fandel Rd,,Germantwn Hls,61548 9354,309383-3002,6-12,073,37,16,A,170020904502,,20240420 05:00:03
,ROE,540000000,00,0000,Vermilion ROE,Mr. Aaron Hird,200 S College St Ste B,,Danville,61832 6744,217431-2668,6-12,104,52,02,1,1700211,,20240420 05:00:03
,Reg Prg,540000000,00,9201,Middlefork School TAOEP,Mrs. Kristin Dunker,15009 Catlin Tilton Rd,,Danville,61834 5176,217443-8273,6-12,104,52,02,A,170021106844,,20240420 05:00:03
,Reg Prg,540000000,00,9301,Middlefork School RSSP,Mrs. Kristin Dunker,15009 Catlin Tilton Rd,,Danville,61834 5176,217443-8273,6-12,104,52,02,A,170021103291,,20240420 05:00:03
,ROE,560000000,00,0000,Will ROE,Hon. Lisa Caparelli Ruff,116 N Chicago St Ste 400,,Joliet,60432 4204,815740-8360,P-12,086,43,14,1,1700213,http://www.willroe.org,20240420 05:00:03
,Reg Prg,560000000,00,9202,Lincoln School TAOEP,Mr. Scott Pritchard,960 Royce Ave,,Joliet,60432 1277,815774-8900,6-12,086,43,14,A,170021306059,http://www.lincolnroe56.com,20240420 05:00:03
,Reg Prg,560000000,00,9301,Lincoln School RSSP,Mr. Scott Pritchard,960 Royce Ave,,Joliet,60432 1277,815774-8900,6-12,086,43,14,A,170021304927,http://www.lincolnroe56.com/,20240420 05:00:03
,Reg Prg,560000000,00,9501,Lincoln School ALOP,Mr. Scott Pritchard,960 Royce Ave,,Joliet,60432 1277,815774-8900,6-12,086,43,14,A,170021306192,http://www.lincolnroe56.com,20240420 05:00:03
